Band,Sp. Num.,Species Game Birds::SPEC,Species Game Birds::Species,Replaced Band Translated,Replaced Band Code,B Month,BMonth::VMonth,R Month,RMonth::VMonth,B Day,BDay::VRDay,R Day,RDay::VRDay,B Year,R Year,Hunt. Season Surv.,B Flyway,Region::Flyway,R Flyway,RFly::Flyway,B Region,BRegion::STA,BRegion::State,R Region,RRegion::STA,RRegion::State,B Lat,B Long,B Dir,R Lat,R Long,R Dir,GISBLat,GISBLong,GISRLat,GISRLong,B Coordinate Precision,B Coord Precision::LOCATION_ACCURACY_DESC,R Coordinate Precision,R Coord Precision::LOCATION_ACCURACY_DESC,Status,Status::VStatus,How Obt,How Obt::VHow,Add Info,AI::VAI,Who Reported,Who::VWho,Pres. Cond.,Age,Age::VAGE,Condition::VCondition,Sex,Sex::VSEX,Condition::VBandStatus,Permit,Permits::Permittee,"Why (pre 1994), Report Method (after 1994)",Rept Mthd::VRept Mthd,Band Type Orig,BType::VBtype,BType::VText,R Create date Year,R Create date Month,Band Type Current,BType Current::VBtype,BType Current::VText,Marker_Desc_enc,Marker_Desc_bndg,other_bands
142391726,2280,AMWO,American Woodcock,Original Band,0,7,July,9,September,24,,22,,1984,1984,1,2,Mississippi,2,Mississippi,35,IN,Indiana,35,IN,Indiana,411,873,0,411,873,0,41.25,-87.58333,41.25,-87.58333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,70,Captured by spotlighting.,22,"State, Provincial, or Federal Official",3,2,Hatch Year,Dead,5,Female,Band status unknown,6377,INDIANA DIVISION OF FISH & WLDLIFE W ADAM PHELPS,2,Check station report (discontinued),11,Aluminum butt-end,old address,1985,6,11,Aluminum butt-end,old address,,,
142391734,2280,AMWO,American Woodcock,Original Band,0,9,September,9,September,8,,30,,1984,1984,1,2,Mississippi,2,Mississippi,35,IN,Indiana,35,IN,Indiana,411,873,0,411,873,0,41.25,-87.58333,41.25,-87.58333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,70,Captured by spotlighting.,22,"State, Provincial, or Federal Official",3,2,Hatch Year,Dead,5,Female,Band status unknown,6377,INDIANA DIVISION OF FISH & WLDLIFE W ADAM PHELPS,2,Check station report (discontinued),11,Aluminum butt-end,old address,1985,6,11,Aluminum butt-end,old address,,,
142391735,2280,AMWO,American Woodcock,Original Band,0,9,September,9,September,14,,23,,1984,1984,1,2,Mississippi,2,Mississippi,35,IN,Indiana,35,IN,Indiana,411,873,0,411,873,0,41.25,-87.58333,41.25,-87.58333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,70,Captured by spotlighting.,22,"State, Provincial, or Federal Official",3,2,Hatch Year,Dead,4,Male,Band status unknown,6377,INDIANA DIVISION OF FISH & WLDLIFE W ADAM PHELPS,2,Check station report (discontinued),11,Aluminum butt-end,old address,1985,6,11,Aluminum butt-end,old address,,,
142391743,2280,AMWO,American Woodcock,Original Band,0,4,April,10,October,29,,16,,1989,1991,3,2,Mississippi,2,Mississippi,35,IN,Indiana,49,MI,Michigan,411,873,0,463,872,0,41.25,-87.58333,46.58333,-87.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,4,Local,Dead,0,Unknown,Band removed,6377,INDIANA DIVISION OF FISH & WLDLIFE W ADAM PHELPS,1,Paper,11,Aluminum butt-end,old address,1992,3,11,Aluminum butt-end,old address,,,
142391702,2280,AMWO,American Woodcock,Original Band,0,9,September,10,October,7,,24,,1983,1983,1,2,Mississippi,2,Mississippi,35,IN,Indiana,35,IN,Indiana,411,873,0,410,872,0,41.25,-87.58333,41.08333,-87.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,70,Captured by spotlighting.,24,FWS Parts Collection Survey,3,2,Hatch Year,Dead,4,Male,Band status unknown,6377,INDIANA DIVISION OF FISH & WLDLIFE W ADAM PHELPS,2,Check station report (discontinued),11,Aluminum butt-end,old address,1984,6,11,Aluminum butt-end,old address,,,
142391703,2280,AMWO,American Woodcock,Original Band,0,9,September,9,September,7,,17,,1983,1983,1,2,Mississippi,2,Mississippi,35,IN,Indiana,35,IN,Indiana,411,873,0,410,872,0,41.25,-87.58333,41.08333,-87.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,70,Captured by spotlighting.,21,Finder,3,2,Hatch Year,Dead,4,Male,Band status unknown,6377,INDIANA DIVISION OF FISH & WLDLIFE W ADAM PHELPS,1,Paper,11,Aluminum butt-end,old address,1983,11,11,Aluminum butt-end,old address,,,
142345502,2280,AMWO,American Woodcock,Original Band,0,6,June,10,October,16,,20,,1981,1981,1,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,425,823,0,425,822,0,42.91667,-82.58333,42.91667,-82.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,20,Miscellaneous,5,1,After Hatch Year,Dead,5,Female,Band removed,3110,MICHIGAN DEPARTMENT NATURAL RES MR DONALD AVERS,0,Unknown,11,Aluminum butt-end,old address,1981,12,11,Aluminum butt-end,old address,,,
142345510,2280,AMWO,American Woodcock,Original Band,0,5,May,9,September,8,,16,,1982,1982,1,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,425,823,0,425,823,0,42.91667,-82.58333,42.91667,-82.58333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",3,4,Local,Dead,0,Unknown,Band status unknown,3110,MICHIGAN DEPARTMENT NATURAL RES MR DONALD AVERS,1,Paper,11,Aluminum butt-end,old address,1982,12,11,Aluminum butt-end,old address,,,
142345517,2280,AMWO,American Woodcock,Original Band,0,5,May,9,September,19,,28,,1982,1982,1,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,425,823,0,430,823,0,42.91667,-82.58333,43.08333,-82.58333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,21,Finder,5,4,Local,Dead,0,Unknown,Band removed,3110,MICHIGAN DEPARTMENT NATURAL RES MR DONALD AVERS,1,Paper,11,Aluminum butt-end,old address,1982,12,11,Aluminum butt-end,old address,,,
142345523,2280,AMWO,American Woodcock,Original Band,0,5,May,9,September,24,,17,,1983,1983,1,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,425,823,0,430,823,0,42.91667,-82.58333,43.08333,-82.58333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,21,Finder,5,4,Local,Dead,0,Unknown,Band removed,3110,MICHIGAN DEPARTMENT NATURAL RES MR DONALD AVERS,1,Paper,11,Aluminum butt-end,old address,1983,11,11,Aluminum butt-end,old address,,,
